Temperature,Year,Month
-5.9938, 1991, Jan Average
-1.4523, 1991, Feb Average
0.93311, 1991, Mar Average
7.22711, 1991, Apr Average
13.457, 1991, May Average
17.8436, 1991, Jun Average
20.0982, 1991, Jul Average
19.2844, 1991, Aug Average
15.0825, 1991, Sep Average
8.20526, 1991, Oct Average
-0.777, 1991, Nov Average
-3.1181, 1991, Dec Average
-3.8417, 1992, Jan Average
-2.029, 1992, Feb Average
1.7601, 1992, Mar Average
6.54484, 1992, Apr Average
12.149, 1992, May Average
17.0159, 1992, Jun Average
19.2404, 1992, Jul Average
18.0337, 1992, Aug Average
13.6838, 1992, Sep Average
7.39058, 1992, Oct Average
0.08293, 1992, Nov Average
-5.2008, 1992, Dec Average
-5.8241, 1993, Jan Average
-4.5001, 1993, Feb Average
0.83475, 1993, Mar Average
6.62221, 1993, Apr Average
13.1449, 1993, May Average
17.0403, 1993, Jun Average
19.9706, 1993, Jul Average
18.9528, 1993, Aug Average
13.8544, 1993, Sep Average
8.05962, 1993, Oct Average
-0.2091, 1993, Nov Average
-2.7904, 1993, Dec Average
-5.5608, 1994, Jan Average
-5.0196, 1994, Feb Average
1.16017, 1994, Mar Average
7.21114, 1994, Apr Average
12.9561, 1994, May Average
18.3532, 1994, Jun Average
20.3329, 1994, Jul Average
19.4809, 1994, Aug Average
14.9965, 1994, Sep Average
7.76955, 1994, Oct Average
0.06799, 1994, Nov Average
-3.2257, 1994, Dec Average
-4.3366, 1995, Jan Average
-2.1594, 1995, Feb Average
0.20539, 1995, Mar Average
6.48089, 1995, Apr Average
12.3989, 1995, May Average
17.1606, 1995, Jun Average
20.2303, 1995, Jul Average
20.0112, 1995, Aug Average
15.3763, 1995, Sep Average
8.27874, 1995, Oct Average
0.12322, 1995, Nov Average
-3.963, 1995, Dec Average
-6.8469, 1996, Jan Average
-3.464, 1996, Feb Average
-0.1998, 1996, Mar Average
6.08679, 1996, Apr Average
12.8269, 1996, May Average
17.9499, 1996, Jun Average
20.1927, 1996, Jul Average
18.9683, 1996, Aug Average
13.8271, 1996, Sep Average
6.72733, 1996, Oct Average
-0.7594, 1996, Nov Average
-4.5414, 1996, Dec Average
-6.4851, 1997, Jan Average
-1.893, 1997, Feb Average
0.56502, 1997, Mar Average
4.7806, 1997, Apr Average
12.0628, 1997, May Average
17.4002, 1997, Jun Average
19.9856, 1997, Jul Average
19.0581, 1997, Aug Average
15.7701, 1997, Sep Average
7.09173, 1997, Oct Average
0.74328, 1997, Nov Average
-3.9916, 1997, Dec Average
-3.9077, 1998, Jan Average
-1.2578, 1998, Feb Average
0.97368, 1998, Mar Average
7.0639, 1998, Apr Average
13.4827, 1998, May Average
17.0894, 1998, Jun Average
20.8214, 1998, Jul Average
19.4854, 1998, Aug Average
16.464, 1998, Sep Average
8.45728, 1998, Oct Average
2.02211, 1998, Nov Average
-3.5235, 1998, Dec Average
-5.2865, 1999, Jan Average
-2.8482, 1999, Feb Average
0.14473, 1999, Mar Average
6.10613, 1999, Apr Average
11.9907, 1999, May Average
17.2482, 1999, Jun Average
20.2168, 1999, Jul Average
19.4332, 1999, Aug Average
14.3763, 1999, Sep Average
7.64132, 1999, Oct Average
2.29889, 1999, Nov Average
-3.8835, 1999, Dec Average
-4.8574, 2000, Jan Average
-0.2395, 2000, Feb Average
2.47845, 2000, Mar Average
6.58868, 2000, Apr Average
12.8646, 2000, May Average
17.4274, 2000, Jun Average
19.8492, 2000, Jul Average
19.2772, 2000, Aug Average
14.493, 2000, Sep Average
8.11505, 2000, Oct Average
-0.6131, 2000, Nov Average
-5.428, 2000, Dec Average
-3.7847, 2001, Jan Average
-3.0018, 2001, Feb Average
-0.0047, 2001, Mar Average
7.09559, 2001, Apr Average
12.5108, 2001, May Average
17.66, 2001, Jun Average
20.258, 2001, Jul Average
19.8175, 2001, Aug Average
15.1284, 2001, Sep Average
7.34324, 2001, Oct Average
2.34029, 2001, Nov Average
-3.764, 2001, Dec Average
-3.3099, 2002, Jan Average
-2.6976, 2002, Feb Average
-0.4692, 2002, Mar Average
6.54284, 2002, Apr Average
12.1168, 2002, May Average
18.1705, 2002, Jun Average
20.9573, 2002, Jul Average
19.0236, 2002, Aug Average
15.7058, 2002, Sep Average
7.51935, 2002, Oct Average
1.99889, 2002, Nov Average
-2.0194, 2002, Dec Average
-4.1002, 2003, Jan Average
-3.3133, 2003, Feb Average
0.70763, 2003, Mar Average
7.06732, 2003, Apr Average
12.4853, 2003, May Average
17.2764, 2003, Jun Average
20.8721, 2003, Jul Average
20.0847, 2003, Aug Average
14.4226, 2003, Sep Average
9.60552, 2003, Oct Average
0.97442, 2003, Nov Average
-3.3251, 2003, Dec Average
-6.552, 2004, Jan Average
-3.5799, 2004, Feb Average
2.11256, 2004, Mar Average
7.38097, 2004, Apr Average
13.607, 2004, May Average
17.718, 2004, Jun Average
20.3101, 2004, Jul Average
18.8581, 2004, Aug Average
14.7634, 2004, Sep Average
8.98645, 2004, Oct Average
1.90244, 2004, Nov Average
-2.9446, 2004, Dec Average
-4.4929, 2005, Jan Average
-2.164, 2005, Feb Average
1.37367, 2005, Mar Average
6.73714, 2005, Apr Average
12.7262, 2005, May Average
18.0134, 2005, Jun Average
20.9218, 2005, Jul Average
19.7991, 2005, Aug Average
16.1025, 2005, Sep Average
8.81693, 2005, Oct Average
0.84106, 2005, Nov Average
-3.5025, 2005, Dec Average
-2.8604, 2006, Jan Average
-2.6077, 2006, Feb Average
0.21326, 2006, Mar Average
7.53715, 2006, Apr Average
13.4026, 2006, May Average
18.2456, 2006, Jun Average
21.3214, 2006, Jul Average
19.3714, 2006, Aug Average
14.5088, 2006, Sep Average
8.07728, 2006, Oct Average
0.75494, 2006, Nov Average
-2.3043, 2006, Dec Average
-5.3881, 2007, Jan Average
-4.5286, 2007, Feb Average
1.18232, 2007, Mar Average
6.68457, 2007, Apr Average
13.3309, 2007, May Average
18.0941, 2007, Jun Average
20.907, 2007, Jul Average
20.5122, 2007, Aug Average
15.878, 2007, Sep Average
9.18131, 2007, Oct Average
2.29686, 2007, Nov Average
-3.598, 2007, Dec Average
-6.0538, 2008, Jan Average
-4.0929, 2008, Feb Average
0.37601, 2008, Mar Average
5.95609, 2008, Apr Average
12.2222, 2008, May Average
17.6739, 2008, Jun Average
20.1725, 2008, Jul Average
19.0584, 2008, Aug Average
14.9969, 2008, Sep Average
7.25488, 2008, Oct Average
1.00317, 2008, Nov Average
-4.6851, 2008, Dec Average
-5.9803, 2009, Jan Average
-2.9221, 2009, Feb Average
0.1311, 2009, Mar Average
6.1227, 2009, Apr Average
13.1335, 2009, May Average
17.4456, 2009, Jun Average
20.0524, 2009, Jul Average
18.9091, 2009, Aug Average
15.5406, 2009, Sep Average
7.09582, 2009, Oct Average
1.63908, 2009, Nov Average
-5.159, 2009, Dec Average
-5.7482, 2010, Jan Average
-3.993, 2010, Feb Average
1.04996, 2010, Mar Average
7.51055, 2010, Apr Average
12.5768, 2010, May Average
18.0394, 2010, Jun Average
20.4354, 2010, Jul Average
20.1567, 2010, Aug Average
15.6135, 2010, Sep Average
9.22403, 2010, Oct Average
1.41036, 2010, Nov Average
-5.1805, 2010, Dec Average
-5.6359, 2011, Jan Average
-4.2505, 2011, Feb Average
0.74491, 2011, Mar Average
6.50072, 2011, Apr Average
12.2391, 2011, May Average
17.8593, 2011, Jun Average
21.0577, 2011, Jul Average
20.0842, 2011, Aug Average
15.4748, 2011, Sep Average
8.92776, 2011, Oct Average
0.27069, 2011, Nov Average
-2.6951, 2011, Dec Average
-5.4456, 2012, Jan Average
-1.4537, 2012, Feb Average
2.74126, 2012, Mar Average
8.06429, 2012, Apr Average
13.4465, 2012, May Average
18.3685, 2012, Jun Average
21.3749, 2012, Jul Average
19.7726, 2012, Aug Average
15.2347, 2012, Sep Average
7.8834, 2012, Oct Average
1.76716, 2012, Nov Average
-3.6671, 2012, Dec Average
-4.1921, 2013, Jan Average
-3.3945, 2013, Feb Average
-0.2622, 2013, Mar Average
4.5695, 2013, Apr Average
12.2388, 2013, May Average
18.6535, 2013, Jun Average
20.694, 2013, Jul Average
19.7371, 2013, Aug Average
15.6988, 2013, Sep Average
8.83887, 2013, Oct Average
0.49859, 2013, Nov Average
-5.1271, 2013, Dec Average
-3.6393, 2014, Jan Average
-4.6473, 2014, Feb Average
0.21163, 2014, Mar Average
6.95186, 2014, Apr Average
13.3534, 2014, May Average
17.5618, 2014, Jun Average
19.9679, 2014, Jul Average
19.5471, 2014, Aug Average
15.5989, 2014, Sep Average
9.18773, 2014, Oct Average
0.48912, 2014, Nov Average
-1.1944, 2014, Dec Average
-4.1873, 2015, Jan Average
-3.4854, 2015, Feb Average
2.29089, 2015, Mar Average
7.63324, 2015, Apr Average
13.5595, 2015, May Average
18.8966, 2015, Jun Average
20.544, 2015, Jul Average
19.3882, 2015, Aug Average
16.0393, 2015, Sep Average
10.1446, 2015, Oct Average
2.38001, 2015, Nov Average
-1.4286, 2015, Dec Average
-2.9203, 2016, Jan Average
0.00595, 2016, Feb Average
3.66085, 2016, Mar Average
8.36253, 2016, Apr Average
13.3068, 2016, May Average
19.0591, 2016, Jun Average
21.196, 2016, Jul Average
20.1812, 2016, Aug Average
16.015, 2016, Sep Average
10.1893, 2016, Oct Average
3.36611, 2016, Nov Average
-4.0525, 2016, Dec Average
